to abandon,отказаться
old-fashioned, старомодный
on, на
once, один раз
one, один
onion, лук
online, онлайн
only, только
onto, на
open, открыть
opening, открытие
to operate, работать
operation, операция
opinion, мнение
opponent, противник
opportunity, возможность
to oppose, противостоять
opposed, выступил против
opposite, противоположный
opposition, оппозиция
option, вариант
or, или
orange, апельсин
order, заказ
ordinary, обычный
organ,орган
organization, организация
to organize, организовать
organized, организованный
organizer, организатор
origin, источник
original, оригинальный
originally, изначально
other, другой
otherwise, в противном случае
ought, должен
our, наш
ours, наш
ourselves, мы сами
out, вне
outcome, исход
outdoor, на открытом воздухе
outdoors, на открытом воздухе
outer, внешний
outline, контур
outside, снаружи
oven, печь
over, над
overall, общий
to owe, быть должен
own, собственный
owner, владелец
pace, шаг
to pack, упаковывать
package, упаковка
page, страница
pain, боль
painful, болезненный
to paint, красить
painter, художник
painting, рисование
pair, пара
palace, дворец
pale, бледный
pan, кастрюля
panel, панель
pants, брюки
paper, бумага
paragraph, абзац
parent, родитель
park, парк
parking, стоянка
parliament, парламент
part, часть
participant, участник
to participate, участвовать
particular, особый
particularly, особенно
partly, частично
partner, партнер
party, вечеринка
to pass, пройти
passage, проход
passenger, пассажир
passion, страсть
passport, паспорт
past, прошлое
path, путь
patient, пациент
pattern, шаблон
to pay, платить
payment, оплата
peace, мир
peaceful, мирный
pen, ручка
pencil, карандаш
penny, пенни
pension, пенсия
people, люди
pepper, перец
per, за
per cent,процент
percentage, процент
perfect, идеальный
perfectly, отлично
to perform, выполнять
performance, производительность
perhaps, возможно
period, период
permanent, постоянный
permission, разрешение
to permit, разрешить
person, человек
personal, личный
personality, личность
personally, лично
perspective, перспектива
to persuade, убедить
pet, домашний питомец
petrol, бензин
phase, фаза
phenomenon, явление
philosophy, философия
phone, телефон
photo, фото
photograph, фотография
photographer, фотограф
photography, фотография
phrase, фраза
physical, физический
physics, физика
piano, пианино
to pick, выбирать
picture, картина
piece, кусок
pig, свинья
pile, куча
pilot, пилот
pin, приколоть
pink, розовый
pipe, трубка
pitch, подача
place, место
plain, простой
plan, план
plane, самолет
planet, планета
planning, планирование
plant, растение
plastic, пластик
plate, тарелка
platform, платформа
to play, играть
player, игрок
pleasant, приятный
please, пожалуйста
pleased, довольный
pleasure, удовольствие
plenty, множество
plot, сюжет
plus, плюс
pocket, карман
poem, стихотворение
poet, поэт
poetry, поэзия
point, точка
pointed, заостренный
poison, яд
poisonous, ядовитый
police, полиция
policeman, полицейский
policy, политика
polite, вежливый
political, политический
politician, политик
politics,политика
pollution, загрязнение
pool, бассейн
poor, бедный
pop, поп
popular, популярный
popularity, популярность
population, население
port, порт
portrait, портрет
to pose, позировать
position, позиция
positive, положительный
to possess, обладать
possession, владение
possibility, возможность
possible, возможный
possibly, возможно
post, почта
poster, постер
pot, горшок
potato, картофель
potential, потенциал
pound, фунт
to pour, наливать
poverty, бедность
powder, пудра
power, власть
powerful, мощный
practical, практичный
practice, упражняться
to practise, практиковать
praise, хвалить
to pray, молиться
prayer, молитва
to predict, предсказывать
prediction, прогноз
to prefer, предпочесть
pregnant, беременная
preparation, подготовка
to prepare, подготовить
prepared, готовый
presence, присутствие
present, подарок
presentation, презентация
to preserve, сохранить
president, президент
to press, нажать
pressure, давление
to pretend, притворяться
pretty, симпатичный
to prevent, чтобы предотвратить
previous, предыдущий
previously, ранее
price, цена
priest, священник
primary, начальный
prime, основной
prince, принц
princess, принцесса
principle, принцип
to print, печатать
printer, принтер
printing, печать
priority, приоритет
prison, тюрьма
prisoner, заключенный
privacy, конфиденциальность
private, частный
prize, приз
probably,вероятно
problem, проблема
procedure, процедура
process, процесс
to produce, производить
producer, производитель
product, продукт
production, производство
profession, профессия
professional, профессиональный
professor, профессор
profile, профиль
profit, выгода
program, программа
programme, программа
progress, прогресс
project, проект
to promise, обещать
to promote, продвигать
to pronounce, произносить
proof, доказательство
proper, правильный
properly, правильно
property, свойство
proposal, предложение
to propose, предложить
prospect, перспектива
to protect, защищать
protection, защита
protest, протест
proud, гордый
to prove, доказать
to provide, обеспечить
psychologist, психолог
psychology, психология
pub, паб
public, публичный
publication, публикация
to publish, публиковать
to pull, тянуть
to punish, наказать
punishment, наказание
pupil, ученик
purchase, покупка
pure, чистый
purple, фиолетовый
purpose, цель
to pursue, преследовать
to push, толкать
to put, положить
qualification, квалификация
qualified, квалифицированный
to qualify, квалифицироваться
quality, качество
quantity, количество
quarter, четверть
queen, королева
question, вопрос
queue, очередь
quick, быстрый
quickly, быстро
quiet, тихий
quietly, тихо
to quit, бросить
quite, довольно
quotation, цитата
to quote, цитировать
race (competition), гонка (соревнование)
race (people),раса (люди)
racing, гонки
radio, радио
railway, железная дорога
rain, дождь
to raise, поднять
range, диапазон
rank, классифицировать
rapid, стремительный
rapidly, быстро
rare, редкий
rarely, редко
rate, ставка
rather, скорее
raw, сырой
to reach, достичь
to react, реагировать
reaction, реакция
to read, читать
reader, читатель
reading, чтение
ready, готовый
real, настоящий
realistic, реалистичный
reality, реальность
to realize, осознать
really, Действительно
reason, причина
reasonable, разумный
to recall, вспомнить
receipt, квитанция
to receive, получить
recent, недавний
recently, недавно
reception, прием
recipe, рецепт
to recognize, распознавать
to recommend, рекомендовать
recommendation, рекомендация
record, записывать
recording, запись
to recover, восстанавливаться
to recycle, перерабатывать
red, красный
to reduce, уменьшить
reduction, снижение
to refer, ссылаться
reference, ссылка
to reflect, отражать
to refuse1, отказаться1
to regard, рассматривать
region, область
regional, региональный
to register, зарегистрироваться
to regret, сожалеть
regular, обычный
regularly, регулярно
regulation, регулирование
to reject, отвергать
to relate, относиться
related, связанный
relation, связь
relationship, отношение
relative, родственник
relatively, относительно
to relax, расслабиться
relaxed, расслабленный
relaxing, расслабляющий
to release, освободить
relevant,соответствующий
reliable, надежный
relief, облегчение
religion, религия
religious, религиозный
to rely, полагаться
to remain, оставаться
remark, замечание
to remember, помнить
to remind, напомнить
remote, удаленный
to remove, удалить
rent, арендовать
to repair, ремонтировать
to repeat, повторять
repeated, повторный
to replace, заменить
to reply, ответить
report, отчет
reporter, репортер
to represent, представлять
representative, представитель
reputation, репутация
request, запрос
to require, требовать
requirement, требование
to rescue, спасти
research, исследовать
researcher, исследователь
reservation, бронирование
reserve, бронировать
resident, резидент
to resist, сопротивляться
to resolve, решать
resort, прибегнуть
resource, ресурс
respect, уважать
to respond, ответить
response, ответ
responsibility, ответственность
responsible, ответственный
rest (remaining part), остальное (оставшаяся часть)
rest (sleep/relax), отдых (сон/расслабление)
restaurant, ресторан
result, результат
to retain, сохранить
to retire, уйти на пенсию
retired, ушедший на пенсию
to return, вернуться
to reveal, раскрыть
review, обзор
to revise, пересматривать
revolution, революция
reward, награда
rhythm, ритм
rice, рис
rich, богатый
to rid, чтобы избавить
to ride, ездить
right, верно
ring, кольцо
to ring2, звонить2
to rise, подняться
risk, риск
river, река
road, дорога
robot, робот
rock (stone),камень (рок)
rock (music), рок (музыка)
role, роль
to roll, катиться
romantic, романтический
roof, крыша
room, комната
root, корень
rope, веревка
rough, грубый
round, круглый
route, маршрут
routine, рутина
row, ряд
royal, королевский
to rub, тереть
rubber, резина
rubbish, мусор
rude, грубый
rugby, регби
rule, правило
to run, бежать
runner, бегун
running, бег
rural, деревенский
to rush, спешить
sad, грустно
sadly, грустно
safe, безопасный
safety, безопасность
to sail, плыть
sailing, парусный спорт
sailor, моряк
salad, салат
salary, зарплата
sale, распродажа
salt, соль
same, такой же
sample, образец
sand, песок
sandwich, сэндвич
satellite, спутник
satisfied, удовлетворен
to satisfy, удовлетворить
Saturday, Суббота
sauce, соус
to save, чтобы сохранить
saving, экономия
to say, сказать
scale, шкала
to scan, сканировать
scared, испуганный
scary, страшный
scene, сцена
schedule, расписание
scheme, схема
school, школа
science, наука
scientific, научный
scientist, ученый
to score, забивать
to scream, кричать
screen, экран
script, сценарий
sculpture, скульптура
sea, море
search, поиск
season, сезон
seat, сиденье
second1 (next after the first), второй1 (следующий после первого)
second1 (unit of time), секунда1 (единица времени)
secondary, вторичный
secondly, во-вторых
secret, секрет
secretary,секретарь
section, раздел
sector, сектор
to secure, для обеспечения
security, безопасность
to see, чтобы увидеть
seed, семя
to seek, искать
to seem, казаться
to select, выбрать
selection, выбор
self, себя
to sell, продать
to send, отправить
senior, старший
sense, смысл
sensible, разумный
sensitive, чувствительный
sentence, предложение
separate, отдельный
September, Сентябрь
sequence, последовательность
series, ряд
serious, серьезный
seriously, серьезно
servant, слуга
to serve, служить
service, услуга
session, сессия
set (put), установить (поставить)
set (group), набор (группа)
setting, параметр
to settle, урегулировать
seven, Семь
seventeen, семнадцать
seventy, семьдесят
several, несколько
severe, серьезный
sex, секс
sexual, сексуальный
shade, оттенок
shadow, тень
to shake, трясти
shall, должен
shallow, мелкий
shame, стыд
shape, форма
to share, поделиться
sharp, острый
she, она
sheep, овца
sheet, лист
shelf, полка
shell, оболочка
shelter, приют
shift, сдвиг
to shine, светить
shiny, блестящий
ship, корабль
shirt, рубашка
shock, шок
shocked, шокирован
shoe, башмак
to shoot, стрелять
shooting, стрельба
shop, магазин
shopping, шоппинг
short, короткий
shot, выстрелил
should, должен
shoulder, плечо
to shout, кричать
to show, показать
shower, душ
to shut, закрыть
shy,застенчивый
sick, больной
side, сторона
sight, взгляд
sign, знак
signal, сигнал
significant, значительный
significantly, существенно
silence, тишина
silent, тихий
silk, шелк
silly, глупый
silver, серебро
similar, похожий
similarity, сходство
similarly, сходным образом
simple, простой
simply, просто
since, с
sincere, искренний
to sing, петь
singer, певец
singing, пение
single, одинокий
to sink, тонуть
sir, сэр
sister, сестра
to sit, сидеть
site, сайт
situation, ситуация
six, шесть
sixteen, шестнадцать
sixty, шестьдесят
size, размер
to ski, кататься на лыжах
skiing, катание на лыжах
skill, навык
skin, кожа
skirt, юбка
sky, небо
slave, раб
to sleep, спать
slice, ломтик
to slide, скользить
slight, небольшой
slightly, немного
to slip, поскользнуться
slope, склон
slow, медленный
slowly, медленно
small, маленький
smart, умный
smartphone, смартфон
to smell, чувствовать запах
to smile, улыбаться
smoke, дым
smoking, курение
smooth, гладкий
snake, змея
snow, снег
so, так
soap, мыло
soccer, футбольный
social, социальный
society, общество
sock, носок
soft, мягкий
software, программное обеспечение
soil, земля
solar, солнечный
soldier, солдат
solid, твердый
solution, решение
to solve, решить
some, некоторый
somebody, кто-нибудь
someone, кто-то
something, что-нибудь
sometimes, иногда
somewhat,несколько
somewhere, где-то
son, сын
song, песня
soon, скоро
sorry, извини
sort, сортировать
soul, душа
sound, звук
soup, суп
source, источник
south, юг
southern, южный
space, космос
to speak, говорить
speaker, спикер
special, особенный
specialist, специалист
species, разновидность
specific, специфический
specifically, конкретно
speech, речь
speed, скорость
to spell, писать по буквам
spelling, написание
to spend, тратить
spending, расходы
spicy, пряный
spider, паук
spirit, дух
spiritual, духовный
to split, расколоть
spoken, разговорный
to sponsor, спонсировать
spoon, ложка
sport, спорт
spot, место
to spread, распространять
spring, весна
square, квадрат
stable, стабильный
stadium, стадион
staff, персонал
stage, этап
stair, лестница
stamp, штамп
to stand, стоять
standard, стандартный
star, звезда
to stare, смотреть
to start, начать
state, состояние
statement, заявление
station, станция
statistic, статистика
statue, статуя
status, статус
to stay, остаться
steady, устойчивый
to steal, украсть
steel, сталь
steep, отвесный
step, шаг
stick (push into/attach), вставить (вставить/прикрепить)
stick (piece of wood), палка (кусок дерева)
sticky, липкий
stiff, жесткий
still, все еще
stock, запас
stomach, желудок
stone, камень
to stop, остановить
store, магазин
storm, шторм
story,история
straight, прямой
strange, странный
stranger, незнакомец
strategy, стратегия
stream, транслировать
street, улица
strength, сила
stress, стресс
to stretch, растягиваться
strict, строгий
to strike, нанести удар
string, нить
strong, сильный
strongly, сильно
structure, структура
to struggle, бороться
student, студент
studio, студия
study, изучать
stuff, вещи
stupid, глупый
style, стиль
subject, предмет
to submit, представить
substance, вещество
to succeed, добиться успеха
success, успех
successful, успешный
successfully, успешно
such, такой
sudden, внезапный
suddenly, внезапно
to suffer, страдать
sugar, сахар
to suggest, предложить
suggestion, предположение
suit, подходить
suitable, подходящий
sum, сумма
to summarize, подвести итог
summary, краткое содержание
summer, лето
sun, солнце
Sunday, Воскресенье
supermarket, супермаркет
supply, поставлять
to support, поддерживать
supporter, сторонник
to suppose, предполагать
sure, конечно
surely, конечно
surface, поверхность
surgery, операция
surprise, сюрприз
surprised, удивлен
surprising, удивительно
to surround, окружать
surrounding, окружающий
survey, опрос
to survive, чтобы выжить
to suspect, подозревать
to swear, клясться
sweater, свитер
to sweep, подметать
sweet, сладкий
to swim, плавать
swimming, плавание
to switch, переключиться
symbol, символ
sympathy,сочувствие
symptom, симптом
system, система
table, стол
tablet, планшет
tail, хвост
to take, взять
tale, сказка
talent, талант
talented, талантливый
to talk, говорить
tall, высокий
tank, танк
tape, лента
target, цель
task, задача
taste, вкус
tax, налог
taxi, такси
tea, чай
to teach, учить
teacher, учитель
teaching, преподавание
team, команда
to tear1, рвать1
tear, рвать
technical, технический
technique, техника
technology, технология
teenage, подростковый
teenager, подросток
telephone, телефон
television, телевидение
to tell, рассказать
temperature, температура
temporary, временный
ten, десять
to tend, ухаживать
tennis, теннис
tent, палатка
term, срок
terrible, ужасный
test, тест
text, текст
than, чем
to thank, поблагодарить
thanks, Спасибо
that, что
the definite article A, определенный артикль A
theatre, театр
their, их
theirs, их
them, их
theme, тема
themselves, сами себя
then, затем
theory, теория
therapy, терапия
there, там
therefore, поэтому
they, они
thick, толстый
thief, вор
thin, тонкий
thing, вещь
to think, думать
thinking, думая
third, третий
thirsty, испытывающий жажду
thirteen, тринадцать
thirty, тридцать
this, этот
though, хотя
thought, мысль
thousand, тысяча
threat, угроза
to threaten,угрожать
three, три
throat, горло
through, через
throughout, через
to throw, бросать
Thursday, Четверг
thus, таким образом
ticket, билет
tidy, аккуратный
to tie, завязывать
tight, тугой
till, до
time, время
tin, олово
tiny, крошечный
tip, кончик
tired, усталый
title, заголовок
to, к
today, сегодня
toe, палец на ноге
together, вместе
toilet, туалет
tomato, помидор
tomorrow, завтра
tone, тон
tongue, язык
tonight, сегодня вечером
too, слишком
tool, инструмент
tooth, зуб
top, вершина
topic, тема
total, общий
totally, полностью
to touch, трогать
tough, жесткий
tour, тур
tourism, туризм
tourist, турист
towards, к
towel, полотенце
tower, башня
town, город
toy, игрушка
track, отслеживать
trade, торговля
tradition, традиция
traditional, традиционный
traffic, трафик
train, тренироваться
trainer, тренер
training, обучение
to transfer, передавать
to transform, преобразовать
transition, переход
to translate, переводить
translation, перевод
transport, транспорт
to travel, путешествовать
traveller, путешественник
to treat, лечить
treatment, уход
tree, дерево
trend, тенденция
trial, пробный
trick, обманывать
trip, путешествие
tropical, тропический
trouble, беда
trousers, брюки
truck, грузовик
TRUE,TRUE
truly, действительно
trust, доверять
truth, правда
to try, попробовать
T-shirt,футболка
tube, трубка
Tuesday, Вторник
tune, мелодия
tunnel, туннель
to turn, повернуть
TV, ТВ
twelve, двенадцать
twenty, двадцать
twice, дважды
twin, близнец
two, два
type, тип
typical, типичный
typically, типично
tyre, шина
ugly, уродливый
ultimately, в конечном счете
umbrella, зонтик
unable, не могущий
uncle, дядя
uncomfortable, неудобно
unconscious, бессознательный
under, под
underground, под землей
to understand, понимать
understanding, понимание
underwear, нижнее белье
unemployed, безработный
unemployment, безработица
unexpected, непредвиденный
unfair, несправедливый
unfortunately, к сожалению
unhappy, несчастный
uniform, униформа
union, союз
unique, уникальный
unit, единица
united, объединенный
universe, вселенная
university, университет
unknown, неизвестный
unless, пока не
unlike, в отличие от
unlikely, маловероятно
unnecessary, ненужный
unpleasant, неприятный
until, до
unusual, необычный
up, вверх
to update, обновить
upon, на
upper, верхний
upset, расстройство
upstairs, наверху
upwards, вверх
urban, городской
to urge, призывать
us, нас
to use, использовать
used, использовал
used to, привыкший
useful, полезный
user, пользователь
usual, обычный
usually, обычно
vacation, отпуск
valley, долина
valuable, ценный
value, ценить
van, фургон
variety, разнообразие
various, различный
to vary, варьироваться
vast, огромный
vegetable,овощ
vehicle, транспортное средство
venue, место проведения
version, версия
very, очень
via, с помощью
victim, жертва
victory, победа
video, видео
view, вид
viewer, зритель
village, деревня
violence, насилие
violent, жестокий
virtual, виртуальный
virus, вирус
vision, зрение
to visit, посетить
visitor, посетитель
visual, визуальный
vital, жизненно важный
vitamin, витамин
voice, голос
volume, объем
volunteer, доброволец
vote, голосование
wage, заработная плата
to wait, ждать
waiter, официант
to wake, разбудить
to walk, ходить
wall, стена
to want, хотеть
war, война
warm, теплый
to warn, предупредить
warning, предупреждение
to wash, мыть
washing, стирка
waste, напрасно тратить
to watch, смотреть
water, вода
wave, волна
way, способ
we, мы
weak, слабый
weakness, слабость
wealth, богатство
wealthy, богатый
weapon, оружие
to wear, носить
weather, погода
web, веб
website, веб-сайт
wedding, свадьба
Wednesday, Среда
week, неделя
weekend, выходные
to weigh, взвешивать
weight, масса
welcome, добро пожаловать
well, хорошо
west, запад
western, западный
wet, влажный
what, что
whatever, что бы ни
wheel, колесо
when, когда
whenever, в любое время
where, где
whereas, тогда как
wherever, где бы то ни было
whether, ли
which, который
while, пока
to whisper, шептать
white, белый
who, ВОЗ
whole,весь
whom, кому
whose, чей
why, почему
wide, широкий
widely, широко
wife, жена
wild, дикий
wildlife, дикая природа
will, воля
willing, готовый
to win, чтобы победить
wind, ветер
to wind2, к ветру2
window, окно
wine, вино
wing, крыло
winner, победитель
winter, зима
wire, проволока
wise, мудрый
to wish, желать
with, с
within, в пределах
without, без
witness, свидетель
woman, женщина
to wonder, удивляться
wonderful, замечательный
wood, древесина
wooden, деревянный
wool, шерсть
word, слово
to work, работать
worker, работник
working, работающий
world, мир
worldwide, во всем мире
worried, волновался
to worry, беспокоиться
worse, худший
worst, худший
worth, ценность
would, бы
wound, ранить
wow, ух ты
to wrap, обернуть
to write, писать
writer, писатель
writing, письмо
written, написано
wrong, неправильный
yard, площадка
yeah, ага
year, год
yellow, желтый
yes, да
yesterday, вчера
yet, еще
you, ты
young, молодой
your, твой
yours, твой
yourself, сам
youth, молодость
zero, ноль
zone, зона
to abolish, отменить
abortion, аборт
absence, отсутствие
absent, отсутствующий
to absorb, поглощать
abstract, абстрактный
absurd, абсурдный
abundance, избыток
abuse, злоупотреблять
academy, академия
to accelerate, ускорить
accent, акцент
acceptance, принятие
accessible,доступный
accidentally, случайно
to accommodate, для размещения
to accomplish, для достижения
accomplishment, достижение
accordance, соответствие
accordingly, соответственно
accountability, подотчетность
accountable, подотчетный
accountant, бухгалтер
to accumulate, накапливать
accumulation, накопление
accuracy, точность
accurately, точно
accusation, обвинение
accused, обвиняемый
acid, кислота
acquisition, приобретение
acre, акр
to activate, активировать
activation, активация
activist, активист
acute, острый
adaptation, приспособление
addiction, зависимость
additionally, кроме того
adequate, адекватный
adequately, адекватно
to adhere, придерживаться
adjacent, соседний
to adjust, настроить
adjustment, корректирование
to administer, администрировать
administrative, административный
administrator, администратор
admission, допуск
adolescent, подросток
adoption, принятие
adverse, неблагоприятный
advocate, защитник
aesthetic, эстетический
affection, привязанность
affordable, доступный
aftermath, последствия
aggression, агрессия
agricultural, сельскохозяйственный
agriculture, сельское хозяйство
aide, помощник
AIDS, СПИД
albeit, хотя
to alert, предупреждать
alien, чужак
to align, выравнивать
alignment, выравнивание
alike, одинаково
allegation, утверждение
to allege, утверждать
allegedly, якобы
alliance, альянс
to allocate, выделять
allocation, распределение
allowance, разрешение
ally, союзник
alongside,рядом
altogether, в целом
aluminium, алюминий
amateur, любитель
ambassador, посол
ambulance, скорая помощь
to amend, вносить поправки
amendment, поправка
amid, среди
amusing, занимательный
analogy, аналогия
analyst, аналитик
ancestor, предок
anchor, якорь
angel, ангел
animation, анимация
annually, ежегодно
anonymous, анонимный
to anticipate, предвидеть
anxiety, беспокойство
apology, извинение
apparatus, аппарат
appealing, привлекательный
appetite, аппетит
to applaud, аплодировать
applicable, применимый
applicant, заявитель
to appoint, назначать
appreciation, признательность
appropriately, соответствующим образом
arbitrary, произвольный
architectural, архитектурный
archive, архив
arena, арена
arguably, возможно
to arm, вооружить
array, множество
arrow, стрелка
to articulate, артикулировать
artwork, произведение искусства
ash, пепел
aside, в сторону
aspiration, стремление
to aspire, стремиться
assassination, убийство
assault, атаковать
to assemble, собирать
assembly, сборка
to assert, утверждать
assertion, утверждение
asset, объект
to assign, назначить
assistance, помощь
assumption, предположение
assurance, уверенность
to assure, гарантировать
astonishing, удивительный
asylum, убежище
atrocity, зверство
attachment, вложение
to attain, достичь
attendance, посещаемость
attorney, адвокат
to attribute, приписывать
auction, аукцион
audio, аудио
audit,аудит
authentic, аутентичный
to authorize, разрешить
auto, авто
automatic, автоматический
automatically, автоматически
autonomy, автономия
availability, доступность
to await, ждать
awareness, осведомленность
awkward, неуклюжий
backdrop, фон
backing, поддержка
backup, резервное копирование
badge, значок
bail, залог
balanced, сбалансированный
ballet, балет
balloon, воздушный шар
ballot, бюллетень для голосования
banner, баннер
bare, голый
barely, едва
bargain, торговаться
barrel, бочка
basement, подвал
basket, корзина
bass, бас
bat, летучая мышь
battlefield, поле битвы
bay, залив
beam, луч
beast, зверь
behalf, от имени
beloved, возлюбленный
bench, лавка
benchmark, бенчмарк
beneath, под
beneficial, выгодный
beneficiary, бенефициар
beside, рядом
besides, кроме
to betray, предать
bias, предвзятость
bid, делать ставку
to bind, связывать
biography, биография
biological, биологический
bishop, епископ
bizarre, странный
blade, лезвие
blanket, одеяло
blast, взрыв
to bleed, истекать кровью
to blend, смешивать
to bless, благословлять
blessing, благословение
blow, дуть
to boast, хвастаться
bold, смелый
bombing, бомбардировка
bonus, бонус
booking, бронирование
boom, бум
to boost, для повышения
to bounce, подпрыгивать
bound, граница
boundary, граница
to bow1, кланяться1
breach, нарушение
breakdown, авария
breakthrough, прорыв
to breed, разводить
brick,кирпич
briefly, кратко
broadband, широкополосный
broadcaster, вещатель
broadly, в целом
browser, браузер
brutal, жестокий
buck, доллар
buddy, приятель
buffer, буфер
bug, ошибка
bulk, масса
burden, груз
bureaucracy, бюрократия
burial, захоронение
to burst, лопнуть
cabin, кабина
cabinet, кабинет
calculation, расчет
canal, канал
candle, свеча
canvas, холст
capability, способность
capitalism, капитализм
capitalist, капиталистический
carbon, углерод
cargo, груз
carriage, перевозка
to carve, вырезать
casino, казино
casual, повседневный
casualty, несчастный случай
catalogue, каталог
to cater, обслуживать
cattle, крупный рогатый скот
caution, осторожность
cautious, осторожный
cave, пещера
to cease, прекратить
cemetery, кладбище
certainty, уверенность
certificate, сертификат
challenging, испытывающий
chamber, камера
championship, чемпионат
chaos, хаос
to characterize, характеризовать
charm, очарование
charming, очаровательный
charter, устав
to chase, преследовать
cheek, щека
to cheer, подбадривать
choir, хор
to chop, рубить
chronic, хронический
chunk, кусок
circuit, схема
to circulate, циркулировать
circulation, циркуляция
citizenship, гражданство
civic, гражданский
civilian, гражданский
civilization, цивилизация
to clarify, прояснить
clarity, ясность
clash, столкновение
classification, классификация
to classify, классифицировать
clerk, клерк
cliff,утес
to cling, цепляться
clinic, клиника
clinical, клинический
clip, клип
closure, закрытие
cluster, кластер
coalition, коалиция
coastal, прибрежный
cocktail, коктейль
cognitive, когнитивный
to coincide, совпадать
coincidence, совпадение
to collaborate, сотрудничать
collaboration, сотрудничество
collective, коллектив
collector, коллекционер
collision, столкновение
colonial, колониальный
colony, колония
colourful, красочный
columnist, обозреватель
combat, бой
comic, комический
commander, командир
to commence, начать
commentary, комментарий
commentator, комментатор
commerce, коммерция
commissioner, комиссар
commodity, товар
communist, коммунист
companion, компаньон
comparable, сопоставимый
comparative, сравнительный
compassion, сострадание
to compel, заставить
compelling, неотразимый
to compensate, чтобы компенсировать
compensation, компенсация
competence, компетентность
competent, компетентный
to compile, компилировать
to complement, дополнять
completion, завершение
complexity, сложность
compliance, согласие
complication, осложнение
to comply, соблюдать
to compose, сочинять
composer, композитор
composition, состав
compound, сложный
comprehensive, всесторонний
to comprise, включать в себя
compromise, компромисс
compulsory, принудительный
to compute, вычислять
to conceal, скрывать
to concede, уступать
to conceive, зачать
conception, зачатие
concession,концессия
concrete, конкретный
to condemn, осуждать
to confer, присуждать
to confess, признаться
confession, признание
configuration, конфигурация
to confine, ограничивать
confirmation, подтверждение
to confront, противостоять
confrontation, конфронтация
confusion, путаница
to congratulate, поздравить
congregation, конгрегация
congressional, конгрессмен
to conquer, покорять
conscience, совесть
consciousness, сознание
consecutive, последовательный
consensus, консенсус
consent, согласие
consequently, следовательно
conservation, сохранение
to conserve, сохранять
considerable, значительный
considerably, значительно
consistency, последовательность
consistently, последовательно
to consolidate, консолидировать
conspiracy, заговор
constituency, избирательный округ
to constitute, составлять
constitution, конституция
constitutional, конституционный
constraint, ограничение
to consult, проконсультироваться
consultant, консультант
consultation, консультация
consumption, потребление
to contemplate, созерцать
contempt, презрение
to contend, утверждать
contender, претендент
contention, разногласие
continually, постоянно
contractor, подрядчик
contradiction, противоречие
contrary, вопреки
contributor, участник
controversial, спорный
controversy, противоречие
convenience, удобство
convention, соглашение
conventional, общепринятый
conversion, конверсия
to convey, передать
to convict, осуждать
conviction,убеждение
convincing, убедительный
to cooperate, сотрудничать
cooperative, кооперативный
to coordinate, координировать
coordination, координация
coordinator, координатор
cop, коп
to cope, чтобы справиться
copper, медь
copyright, авторское право
corporation, корпорация
correction, исправление
to correlate, коррелировать
correlation, корреляция
to correspond, соответствовать
correspondence, переписка
correspondent, корреспондент
corresponding, соответствующий
corridor, коридор
corrupt, коррумпированный
corruption, коррупция
costly, дорогостоящий
councillor, советник
counselling, консультирование
counsellor, консультант
counter (long flat surface), прилавок (длинная плоская поверхность)
counter (argue against), контр (возражать против)
counterpart, коллега
countless, бесчисленное множество
coup, переворот
courtesy, учтивость
coverage, покрытие
to crack, взломать
craft, ремесло
to crawl, ползать
creativity, креативность
creator, создатель
credibility, доверие
credible, заслуживающий доверия
to creep, ползать
critically, критически
critique, критика
crown, корона
crude, сырой
cruise, круиз
to crush, раздавить
crystal, кристалл
cue, кий
cult, культ
to cultivate, культивировать
curiosity, любопытство
curious, любопытный
curriculum, учебный план
custody, попечение
cute, милый
cutting, резка
cynical, циничный
dairy, молочный
dam, плотина
damaging, разрушительный
to dare, осмелиться
darkness, тьма
database, база данных
dawn,рассвет
deadline, крайний срок
deadly, смертельный
dealer, дилер
debris, обломки
debut, дебют
decision-making, принятие решений
decisive, решительный
deck, палуба
declaration, декларация
dedicated, преданный
dedication, преданность
deed, поступок
to deem, считать
default, по умолчанию
defect, дефект
defender, защитник
defensive, оборонительный
deficiency, дефицит
deficit, дефицит
to defy, бросить вызов
delegate, делегат
delegation, делегация
to delete, удалить
delicate, деликатный
democracy, демократия
democratic, демократический
demon, демон
demonstration, демонстрация
denial, отрицание
to denounce, осуждать
dense, плотный
density, плотность
to depart, отходить
dependence, зависимость
dependent, зависимый
to depict, изображать
to deploy, развернуть
deployment, развертывание
deposit, депозит
depression, депрессия
to deprive, лишать
deputy, заместитель
to derive, выводить
to descend, спускаться
descent, спуск
to designate, обозначать
desirable, желательно
desktop, рабочий стол
desperately, отчаянно
destruction, разрушение
destructive, разрушительный
to detain, задерживать
detection, обнаружение
detention, задержание
to deteriorate, ухудшаться
determination, определение
to devastate, опустошать
devil, дьявол
to devise, изобретать
to devote, посвящать
to diagnose, диагностировать
diagnosis, диагноз
to dictate, диктовать
dictator, диктатор
to differ,отличаться
to differentiate, дифференцировать
dignity, достоинство
dilemma, дилемма
dimension, измерение
to diminish, уменьшить
to dip, окунать
diplomat, дипломат
diplomatic, дипломатический
directory, каталог
disability, инвалидность
disabled, неполноценный
disagreement, несогласие
to disappoint, разочаровывать
disappointment, разочарование
disastrous, катастрофический
to discard, отбрасывать
to discharge, разрядить
