abandon,покидать
pass, проходить
passage, проход
passenger, пассажир
passion, страсть
passport, паспорт
past, прошлое
path, путь
patient, пациент
pattern, шаблон
pay, платить
payment, оплата
peace, мир
peaceful, мирный
pen, ручка
pencil, карандаш
penny, пенни
pension, пенсия
people, люди
pepper, перец
per, за
per, за
percentage, процент
perfect, идеальный
perfectly, отлично
perform, выполнять
performance, производительность
perhaps, возможно
period, период
permanent, постоянный
permission, разрешение
permit, разрешать
person, человек
personal, личный
personality, личность
personally, лично
perspective, перспектива
persuade, убеждать
pet, домашний питомец
petrol, бензин
phase, фаза
phenomenon, явление
philosophy, философия
phone, телефон
photo, фото
photograph,фотография
photographer, фотограф
photography, фотография
phrase, фраза
physical, физический
physics, физика
piano, пианино
pick, выбирать
picture, картина
piece, кусок
pig, свинья
pile, куча
pilot, пилот
pin, приколоть
pink, розовый
pipe, трубка
pitch, подача
place, место
plain, простой
plan, план
plane, самолет
planet, планета
planning, планирование
plant, растение
plastic, пластик
plate, тарелка
platform, платформа
play, играть
player, игрок
pleasant, приятный
please, пожалуйста
pleased, довольный
pleasure, удовольствие
plenty, множество
plot, сюжет
plus, плюс
pocket, карман
poem, стихотворение
poet, поэт
poetry, поэзия
point, точка
pointed, заостренный
poison, яд
poisonous, ядовитый
police, полиция
policeman, полицейский
policy, политика
polite, вежливый
political, политический
politician, политик
politics, политика
pollution, загрязнение
pool, бассейн
poor, бедный
pop, поп
popular, популярный
popularity, популярность
population, население
port, порт
portrait, портрет
pose, поза
position, позиция
positive, положительный
possess, владеть
possession, владение
possibility, возможность
possible, возможный
possibly, возможно
post, почта
poster, постер
pot, горшок
potato, картофель
potential, потенциал
pound, фунт
pour, налить
poverty, бедность
powder, пудра
power,власть
powerful, мощный
practical, практичный
practice, упражняться
practise, упражняться
praise, хвалить
pray, молиться
prayer, молитва
predict, предсказывать
prediction, прогноз
prefer, предпочитать
pregnant, беременная
preparation, подготовка
prepare, подготовить
prepared, готовый
presence, присутствие
present, подарок
presentation, презентация
preserve, сохранять
president, президент
press, нажимать
pressure, давление
pretend, притворяться
pretty, симпатичный
prevent, предотвращать
previous, предыдущий
previously, ранее
price, цена
priest, священник
primary, начальный
prime, основной
prince, принц
princess, принцесса
principle, принцип
print, печать
printer, принтер
printing, печать
priority, приоритет
prison, тюрьма
prisoner, заключенный
privacy, конфиденциальность
private, частный
prize, приз
probably, вероятно
problem, проблема
procedure, процедура
process, процесс
produce, производить
producer, производитель
product, продукт
production, производство
profession, профессия
professional, профессиональный
professor, профессор
profile, профиль
profit, выгода
program, программа
programme, программа
progress, прогресс
project, проект
promise, обещать
promote, продвигать
pronounce, произносить
proof, доказательство
proper, правильный
properly, правильно
property, свойство
proposal, предложение
propose, предложить
prospect, перспектива
protect, защищать
protection,защита
protest, протест
proud, гордый
prove, доказывать
provide, предоставлять
psychologist, психолог
psychology, психология
pub, паб
public, публичный
publication, публикация
publish, публиковать
pull, тянуть
punish, наказывать
punishment, наказание
pupil, ученик
purchase, покупка
pure, чистый
purple, фиолетовый
purpose, цель
pursue, преследовать
push, толкать
put, помещать
qualification, квалификация
qualified, квалифицированный
qualify, квалифицироваться
quality, качество
quantity, количество
quarter, четверть
queen, королева
question, вопрос
queue, очередь
quick, быстрый
quickly, быстро
quiet, тихий
quietly, тихо
quit, покидать
quite, довольно
quotation, цитата
quote, цитировать
race, раса
race, раса
racing, гонки
radio, радио
railway, железная дорога
rain, дождь
raise, поднимать
range, диапазон
rank, классифицировать
rapid, стремительный
rapidly, быстро
rare, редкий
rarely, редко
rate, ставка
rather, скорее
raw, сырой
reach, достигать
react, реагировать
reaction, реакция
read, читать
reader, читатель
reading, чтение
ready, готовый
real, настоящий
realistic, реалистичный
reality, реальность
realize, понимать
really, Действительно
reason, причина
reasonable, разумный
recall, отзывать
receipt, квитанция
receive, получать
recent, недавний
recently, недавно
reception, прием
recipe, рецепт
recognize, распознавать
recommend,рекомендовать
recommendation, рекомендация
record, записывать
recording, запись
recover, восстанавливаться
recycle, перерабатывать
red, красный
reduce, уменьшать
reduction, снижение
refer, ссылаться
reference, ссылка
reflect, отражать
refuse, мусор
regard, внимание
region, область
regional, региональный
register, зарегистрироваться
regret, сожалеть
regular, обычный
regularly, регулярно
regulation, регулирование
reject, отклонять
relate, иметь отношение к
related, связанный
relation, связь
relationship, отношение
relative, родственник
relatively, относительно
relax, расслабляться
relaxed, расслабленный
relaxing, расслабляющий
release, выпускать
relevant, соответствующий
reliable, надежный
relief, облегчение
religion, религия
religious, религиозный
rely, полагаться
remain, оставаться
remark, замечание
remember, помнить
remind, напоминать
remote, удаленный
remove, удалять
rent, арендовать
repair, ремонт
repeat, повторить
repeated, повторный
replace, заменять
reply, отвечать
report, отчет
reporter, репортер
represent, представлять
representative, представитель
reputation, репутация
request, запрос
require, требовать
requirement, требование
rescue, спасать
research, исследовать
researcher, исследователь
reservation, бронирование
reserve, бронировать
resident, резидент
resist, сопротивляться
resolve, решать
resort, прибегнуть
resource, ресурс
respect, уважать
respond, отвечать
response, ответ
responsibility,ответственность
responsible, ответственный
rest, отдых
rest, отдых
restaurant, ресторан
result, результат
retain, удерживать
retire, уходить в отставку
retired, ушедший на пенсию
return, возвращаться
reveal, раскрывать
review, обзор
revise, исправлять
revolution, революция
reward, награда
rhythm, ритм
rice, рис
rich, богатый
rid, избавлять
ride, поездка
right, верно
ring, кольцо
ring, кольцо
rise, рост
risk, риск
river, река
road, дорога
robot, робот
rock, камень
rock, камень
role, роль
roll, рулон
romantic, романтический
roof, крыша
room, комната
root, корень
rope, веревка
rough, грубый
round, круглый
route, маршрут
routine, рутина
row, ряд
royal, королевский
rub, руб
rubber, резина
rubbish, мусор
rude, грубый
rugby, регби
rule, правило
run, бегать
runner, бегун
running, бег
rural, деревенский
rush, торопиться
sad, грустно
sadly, грустно
safe, безопасный
safety, безопасность
sail, плыть
sailing, парусный спорт
sailor, моряк
salad, салат
salary, зарплата
sale, распродажа
salt, соль
same, такой же
sample, образец
sand, песок
sandwich, сэндвич
satellite, спутник
satisfied, удовлетворен
satisfy, удовлетворять
Saturday, Суббота
sauce, соус
save, сохранять
saving, экономия
say, сказать
scale, шкала
scan, сканировать
scared, испуганный
scary, страшный
scene, сцена
schedule, расписание
scheme, схема
school, школа
science,наука
scientific, научный
scientist, ученый
score, счет
scream, крик
screen, экран
script, сценарий
sculpture, скульптура
sea, море
search, поиск
season, сезон
seat, сиденье
second, второй
number, число
second, второй
secondary, вторичный
secondly, во-вторых
secret, секрет
secretary, секретарь
section, раздел
sector, сектор
secure, безопасный
security, безопасность
see, видеть
seed, семя
seek, искать
seem, казаться
select, выбирать
selection, выбор
self, себя
sell, продавать
send, отправлять
senior, старший
sense, смысл
sensible, разумный
sensitive, чувствительный
sentence, предложение
separate, отдельный
September, Сентябрь
sequence, последовательность
series, ряд
serious, серьезный
seriously, серьезно
servant, слуга
serve, служить
service, услуга
session, сессия
set, набор
set, набор
setting, параметр
settle, решить
seven, Семь
seventeen, семнадцать
seventy, семьдесят
several, несколько
severe, серьезный
sex, секс
sexual, сексуальный
shade, оттенок
shadow, тень
shake, встряхнуть
shall, должен
shallow, мелкий
shame, стыд
shape, форма
share, делиться
sharp, острый
she, она
sheep, овца
sheet, лист
shelf, полка
shell, оболочка
shelter, приют
shift, сдвиг
shine, светить
shiny, блестящий
ship, корабль
shirt, рубашка
shock, шок
shocked, шокирован
shoe, башмак
shoot, стрелять
shooting,стрельба
shop, магазин
shopping, шоппинг
short, короткий
shot, выстрелил
should, должен
shoulder, плечо
shout, кричать
show, показывать
shower, душ
shut, закрыть
shy, застенчивый
sick, больной
side, сторона
sight, взгляд
sign, знак
signal, сигнал
significant, значительный
significantly, существенно
silence, тишина
silent, тихий
silk, шелк
silly, глупый
silver, серебро
similar, похожий
similarity, сходство
similarly, сходным образом
simple, простой
simply, просто
since, с
sincere, искренний
sing, петь
singer, певец
singing, пение
single, одинокий
sink, раковина
sir, сэр
sister, сестра
sit, сидеть
site, сайт
situation, ситуация
six, шесть
sixteen, шестнадцать
sixty, шестьдесят
size, размер
ski, лыжи
skiing, катание на лыжах
skill, навык
skin, кожа
skirt, юбка
sky, небо
slave, раб
sleep, спать
slice, ломтик
slide, слайд
slight, небольшой
slightly, немного
slip, соскальзывать
slope, склон
slow, медленный
slowly, медленно
small, маленький
smart, умный
smartphone, смартфон
smell, запах
smile, улыбка
smoke, дым
smoking, курение
smooth, гладкий
snake, змея
snow, снег
so, так
soap, мыло
soccer, футбольный
social, социальный
society, общество
sock, носок
soft, мягкий
software, программное обеспечение
soil, земля
solar, солнечный
soldier, солдат
solid,твердый
solution, решение
solve, решать
some, некоторый
somebody, кто-нибудь
someone, кто-то
something, что-нибудь
sometimes, иногда
somewhat, несколько
somewhere, где-то
son, сын
song, песня
soon, скоро
sorry, извини
sort, сортировать
soul, душа
sound, звук
soup, суп
source, источник
south, юг
southern, южный
space, космос
speak, говорить
speaker, спикер
special, особенный
specialist, специалист
species, разновидность
specific, специфический
specifically, конкретно
speech, речь
speed, скорость
spell, заклинание
spelling, написание
spend, тратить
spending, расходы
spicy, пряный
spider, паук
spirit, дух
spiritual, духовный
split, расколоть
spoken, разговорный
sponsor, спонсор
spoon, ложка
sport, спорт
spot, место
spread, распространение
spring, весна
square, квадрат
stable, стабильный
stadium, стадион
staff, персонал
stage, этап
stair, лестница
stamp, штамп
stand, стоять
standard, стандартный
star, звезда
stare, смотреть
start, начинать
state, состояние
statement, заявление
station, станция
statistic, статистика
statue, статуя
status, статус
stay, оставаться
steady, устойчивый
steal, воровать
steel, сталь
steep, отвесный
step, шаг
stick, палка
stick, палка
sticky, липкий
stiff, жесткий
still, все еще
stock, запас
stomach, желудок
stone, камень
stop, останавливаться
store,магазин
storm, шторм
story, история
straight, прямой
strange, странный
stranger, незнакомец
strategy, стратегия
stream, транслировать
street, улица
strength, сила
stress, стресс
stretch, потягиваться
strict, строгий
strike, ударять
string, нить
strong, сильный
strongly, сильно
structure, структура
struggle, борьба
student, студент
studio, студия
study, изучать
stuff, вещи
stupid, глупый
style, стиль
subject, предмет
submit, представлять на рассмотрение
substance, вещество
succeed, преуспевать
success, успех
successful, успешный
successfully, успешно
such, такой
sudden, внезапный
suddenly, внезапно
suffer, страдать
sugar, сахар
suggest, предлагать
suggestion, предположение
suit, подходить
suitable, подходящий
sum, сумма
summarize, подвести итог
summary, краткое содержание
summer, лето
sun, солнце
Sunday, Воскресенье
supermarket, супермаркет
supply, поставлять
support, поддерживать
supporter, сторонник
suppose, предполагать
sure, конечно
surely, конечно
surface, поверхность
surgery, операция
surprise, сюрприз
surprised, удивлен
surprising, удивительно
surround, окружать
surrounding, окружающий
survey, опрос
survive, выживать
suspect, подозревать
swear, ругаться
sweater, свитер
sweep, мести
sweet, сладкий
swim, плавать
swimming, плавание
switch, выключатель
symbol, символ
sympathy, сочувствие
symptom, симптом
system,система
table, стол
tablet, планшет
tail, хвост
take, брать
tale, сказка
talent, талант
talented, талантливый
talk, разговаривать
tall, высокий
tank, танк
tape, лента
target, цель
task, задача
taste, вкус
tax, налог
taxi, такси
tea, чай
teach, учить
teacher, учитель
teaching, преподавание
team, команда
tear, рвать
tear, рвать
technical, технический
technique, техника
technology, технология
teenage, подростковый
teenager, подросток
telephone, телефон
television, телевидение
tell, рассказывать
temperature, температура
temporary, временный
ten, десять
tend, иметь тенденцию
tennis, теннис
tent, палатка
term, срок
terrible, ужасный
test, тест
text, текст
than, чем
thank, благодарить
thanks, Спасибо
that, что
the,
theatre, театр
their, их
theirs, их
them, их
theme, тема
themselves, сами себя
then, затем
theory, теория
therapy, терапия
there, там
therefore, поэтому
they, они
thick, толстый
thief, вор
thin, тонкий
thing, вещь
think, думать
thinking, думая
third, третий
thirsty, испытывающий жажду
thirteen, тринадцать
thirty, тридцать
this, этот
though, хотя
thought, мысль
thousand, тысяча
threat, угроза
threaten, угрожать
three, три
throat, горло
through, через
throughout, через
throw, бросать
Thursday, Четверг
thus,таким образом
ticket, билет
tidy, аккуратный
tie, галстук
tight, тугой
till, до
time, время
tin, олово
tiny, крошечный
tip, кончик
tired, усталый
title, заголовок
to, к
today, сегодня
toe, палец на ноге
together, вместе
toilet, туалет
tomato, помидор
tomorrow, завтра
tone, тон
tongue, язык
tonight, сегодня вечером
too, слишком
tool, инструмент
tooth, зуб
top, вершина
topic, тема
total, общий
totally, полностью
touch, трогать
tough, жесткий
tour, тур
tourism, туризм
tourist, турист
towards, к
towel, полотенце
tower, башня
town, город
toy, игрушка
track, отслеживать
trade, торговля
tradition, традиция
traditional, традиционный
traffic, трафик
train, тренироваться
trainer, тренер
training, обучение
transfer, передача
transform, трансформировать
transition, переход
translate, переводить
translation, перевод
transport, транспорт
travel, путешествовать
traveller, путешественник
treat, обращаться
treatment, уход
tree, дерево
trend, тенденция
trial, пробный
trick, обманывать
trip, путешествие
tropical, тропический
trouble, беда
trousers, брюки
truck, грузовик
TRUE,TRUE
truly, действительно
trust, доверять
truth, правда
try, пытаться
T-shirt, футболка
tube, трубка
Tuesday, Вторник
tune, мелодия
tunnel, туннель
turn, повернуть
TV, ТВ
twelve, двенадцать
twenty, двадцать
twice, дважды
twin, близнец
two,два
type, тип
typical, типичный
typically, типично
tyre, шина
ugly, уродливый
ultimately, в конечном счете
umbrella, зонтик
unable, не могущий
uncle, дядя
uncomfortable, неудобно
unconscious, бессознательный
under, под
underground, под землей
understand, понимать
understanding, понимание
underwear, нижнее белье
unemployed, безработный
unemployment, безработица
unexpected, непредвиденный
unfair, несправедливый
unfortunately, к сожалению
unhappy, несчастный
uniform, униформа
union, союз
unique, уникальный
unit, единица
united, объединенный
universe, вселенная
university, университет
unknown, неизвестный
unless, пока не
unlike, в отличие от
unlikely, маловероятно
unnecessary, ненужный
unpleasant, неприятный
until, до
unusual, необычный
up, вверх
update, обновлять
upon, на
upper, верхний
upset, расстройство
upstairs, наверху
upwards, вверх
urban, городской
urge, побуждать
us, нас
use, использовать
used, использовал
used, использовал
used, использовал
useful, полезный
user, пользователь
usual, обычный
usually, обычно
vacation, отпуск
valley, долина
valuable, ценный
value, ценить
van, фургон
variety, разнообразие
various, различный
vary, отличаться
vast, огромный
vegetable, овощ
vehicle, транспортное средство
venue, место проведения
version, версия
very, очень
via, с помощью
victim, жертва
victory, победа
video, видео
view, вид
viewer, зритель
village, деревня
violence,насилие
violent, жестокий
virtual, виртуальный
virus, вирус
vision, зрение
visit, посещать
visitor, посетитель
visual, визуальный
vital, жизненно важный
vitamin, витамин
voice, голос
volume, объем
volunteer, доброволец
vote, голосование
wage, заработная плата
wait, ждать
waiter, официант
wake, будить
walk, ходить
wall, стена
want, хотеть
war, война
warm, теплый
warn, предупреждать
warning, предупреждение
wash, стирать
washing, стирка
waste, напрасно тратить
watch, смотреть
water, вода
wave, волна
way, способ
we, мы
weak, слабый
weakness, слабость
wealth, богатство
wealthy, богатый
weapon, оружие
wear, носить
weather, погода
web, веб
website, веб-сайт
wedding, свадьба
Wednesday, Среда
week, неделя
weekend, выходные
weigh, весить
weight, масса
welcome, добро пожаловать
well, хорошо
west, запад
western, западный
wet, влажный
what, что
whatever, что бы ни
wheel, колесо
when, когда
whenever, в любое время
where, где
whereas, тогда как
wherever, где бы то ни было
whether, ли
which, который
while, пока
whisper, шепот
white, белый
who, ВОЗ
whole, весь
whom, кому
whose, чей
why, почему
wide, широкий
widely, широко
wife, жена
wild, дикий
wildlife, дикая природа
will, воля
willing, готовый
win, победить
wind, ветер
wind, ветер
window, окно
wine, вино
wing, крыло
winner,победитель
winter, зима
wire, проволока
wise, мудрый
wish, желание
with, с
within, в пределах
without, без
witness, свидетель
woman, женщина
wonder, удивляться
wonderful, замечательный
wood, древесина
wooden, деревянный
wool, шерсть
word, слово
work, работа
worker, работник
working, работающий
world, мир
worldwide, во всем мире
worried, волновался
worry, волноваться
worse, худший
worst, худший
worth, ценность
would, бы
wound, ранить
wow, ух ты
wrap, сворачивать
write, писать
writer, писатель
writing, письмо
written, написано
wrong, неправильный
yard, площадка
yeah, ага
year, год
yellow, желтый
yes, да
yesterday, вчера
yet, еще
you, ты
young, молодой
your, твой
yours, твой
yourself, сам
youth, молодость
zero, ноль
zone, зона
abolish, отменять
abortion, аборт
absence, отсутствие
absent, отсутствующий
absorb, поглощать
abstract, абстрактный
absurd, абсурдный
abundance, избыток
abuse, злоупотреблять
academy, академия
accelerate, ускорить
accent, акцент
acceptance, принятие
accessible, доступный
accidentally, случайно
accommodate, разместить
accomplish, выполнить
accomplishment, достижение
accordance, соответствие
accordingly, соответственно
accountability, подотчетность
accountable, подотчетный
accountant, бухгалтер
accumulate, накапливать
accumulation, накопление
accuracy,точность
accurately, точно
accusation, обвинение
accused, обвиняемый
acid, кислота
acquisition, приобретение
acre, акр
activate, активировать
activation, активация
activist, активист
acute, острый
adaptation, приспособление
addiction, зависимость
additionally, кроме того
adequate, адекватный
adequately, адекватно
adhere, придерживаться
adjacent, соседний
adjust, регулировать
adjustment, корректирование
administer, администрировать
administrative, административный
administrator, администратор
admission, допуск
adolescent, подросток
adoption, принятие
adverse, неблагоприятный
advocate, защитник
aesthetic, эстетический
affection, привязанность
affordable, доступный
aftermath, последствия
aggression, агрессия
agricultural, сельскохозяйственный
agriculture, сельское хозяйство
aide, помощник
AIDS, СПИД
albeit, хотя
alert, тревога
alien, чужак
align, выровнять
alignment, выравнивание
alike, одинаково
allegation, утверждение
allege, утверждают
allegedly, якобы
alliance, альянс
allocate, выделять
allocation, распределение
allowance, разрешение
ally, союзник
alongside, рядом
altogether, в целом
aluminium, алюминий
amateur, любитель
ambassador, посол
ambulance, скорая помощь
amend, исправлять
amendment, поправка
amid, среди
amusing, занимательный
analogy, аналогия
analyst, аналитик
ancestor, предок
anchor, якорь
angel, ангел
animation, анимация
annually, ежегодно
anonymous,анонимный
anticipate, предвидеть
anxiety, беспокойство
apology, извинение
apparatus, аппарат
appealing, привлекательный
appetite, аппетит
applaud, аплодировать
applicable, применимый
applicant, заявитель
appoint, назначать
appreciation, признательность
appropriately, соответствующим образом
arbitrary, произвольный
architectural, архитектурный
archive, архив
arena, арена
arguably, возможно
arm, рука
array, множество
arrow, стрелка
articulate, артикулировать
artwork, произведение искусства
ash, пепел
aside, в сторону
aspiration, стремление
aspire, стремиться
assassination, убийство
assault, атаковать
assemble, собрать
assembly, сборка
assert, утверждать
assertion, утверждение
asset, объект
assign, назначать
assistance, помощь
assumption, предположение
assurance, уверенность
assure, гарантировать
astonishing, удивительный
asylum, убежище
atrocity, зверство
attachment, вложение
attain, достичь
attendance, посещаемость
attorney, адвокат
attribute, атрибут
auction, аукцион
audio, аудио
audit, аудит
authentic, аутентичный
authorize, авторизовать
auto, авто
automatic, автоматический
automatically, автоматически
autonomy, автономия
availability, доступность
await, ждать
awareness, осведомленность
awkward, неуклюжий
backdrop, фон
backing, поддержка
backup, резервное копирование
badge, значок
bail, залог
balanced, сбалансированный
ballet, балет
balloon, воздушный шар
ballot, бюллетень для голосования
banner, баннер
bare,голый
barely, едва
bargain, торговаться
barrel, бочка
basement, подвал
basket, корзина
bass, бас
bat, летучая мышь
battlefield, поле битвы
bay, залив
beam, луч
beast, зверь
behalf, от имени
beloved, возлюбленный
bench, лавка
benchmark, бенчмарк
beneath, под
beneficial, выгодный
beneficiary, бенефициар
beside, рядом
besides, кроме
betray, предавать
bias, предвзятость
bid, делать ставку
bind, связывать
biography, биография
biological, биологический
bishop, епископ
bizarre, странный
blade, лезвие
blanket, одеяло
blast, взрыв
bleed, кровоточить
blend, смешивать
bless, благословить
blessing, благословение
blow, дуть
boast, хвастаться
bold, смелый
bombing, бомбардировка
bonus, бонус
booking, бронирование
boom, бум
boost, способствовать росту
bounce, подпрыгивать
bound, граница
boundary, граница
bow, поклон
breach, нарушение
breakdown, авария
breakthrough, прорыв
breed, порода
brick, кирпич
briefly, кратко
broadband, широкополосный
broadcaster, вещатель
broadly, в целом
browser, браузер
brutal, жестокий
buck, доллар
buddy, приятель
buffer, буфер
bug, ошибка
bulk, масса
burden, груз
bureaucracy, бюрократия
burial, захоронение
burst, лопаться
cabin, кабина
cabinet, кабинет
calculation, расчет
canal, канал
candle, свеча
canvas, холст
capability, способность
capitalism, капитализм
capitalist, капиталистический
carbon,углерод
cargo, груз
carriage, перевозка
carve, вырезать
casino, казино
casual, повседневный
casualty, несчастный случай
catalogue, каталог
cater, обслуживать
cattle, крупный рогатый скот
caution, осторожность
cautious, осторожный
cave, пещера
cease, прекратить
cemetery, кладбище
certainty, уверенность
certificate, сертификат
challenging, испытывающий
chamber, камера
championship, чемпионат
chaos, хаос
characterize, характеризовать
charm, очарование
charming, очаровательный
charter, устав
chase, гнаться
cheek, щека
cheer, радость
choir, хор
chop, нарезать
chronic, хронический
chunk, кусок
circuit, схема
circulate, циркулировать
circulation, циркуляция
citizenship, гражданство
civic, гражданский
civilian, гражданский
civilization, цивилизация
clarify, объяснить
clarity, ясность
clash, столкновение
classification, классификация
classify, классифицировать
clerk, клерк
cliff, утес
cling, цепляться
clinic, клиника
clinical, клинический
clip, клип
closure, закрытие
cluster, кластер
coalition, коалиция
coastal, прибрежный
cocktail, коктейль
cognitive, когнитивный
coincide, совпадают
coincidence, совпадение
collaborate, сотрудничать
collaboration, сотрудничество
collective, коллектив
collector, коллекционер
collision, столкновение
colonial, колониальный
colony, колония
colourful, красочный
columnist, обозреватель
combat, бой
comic, комический
commander, командир
commence,начать
commentary, комментарий
commentator, комментатор
commerce, коммерция
commissioner, комиссар
commodity, товар
communist, коммунист
companion, компаньон
comparable, сопоставимый
comparative, сравнительный
compassion, сострадание
compel, заставлять
compelling, неотразимый
compensate, компенсировать
compensation, компенсация
competence, компетентность
competent, компетентный
compile, компилировать
complement, дополнять
completion, завершение
complexity, сложность
compliance, согласие
complication, осложнение
comply, исполнять
compose, сочинять
composer, композитор
composition, состав
compound, сложный
comprehensive, всесторонний
comprise, включают в себя
compromise, компромисс
compulsory, принудительный
compute, вычислить
conceal, скрыть
concede, уступить
conceive, зачать
conception, зачатие
concession, концессия
concrete, конкретный
condemn, осуждать
confer, присуждать
confess, признаваться
confession, признание
configuration, конфигурация
confine, ограничивать
confirmation, подтверждение
confront, противостоять
confrontation, конфронтация
confusion, путаница
congratulate, поздравляю
congregation, конгрегация
congressional, конгрессмен
conquer, завоевывать
conscience, совесть
consciousness, сознание
consecutive, последовательный
consensus, консенсус
consent, согласие
consequently, следовательно
conservation, сохранение
conserve, сохранять
considerable, значительный
considerably,значительно
consistency, последовательность
consistently, последовательно
consolidate, консолидировать
conspiracy, заговор
constituency, избирательный округ
constitute, составляют
constitution, конституция
constitutional, конституционный
constraint, ограничение
consult, проконсультироваться
consultant, консультант
consultation, консультация
consumption, потребление
contemplate, созерцать
contempt, презрение
contend, утверждают
contender, претендент
content, содержание
contention, разногласие
continually, постоянно
contractor, подрядчик
contradiction, противоречие
contrary, вопреки
contributor, участник
controversial, спорный
controversy, противоречие
convenience, удобство
convention, соглашение
conventional, общепринятый
conversion, конверсия
convey, передавать
convict, осуждённый
conviction, убеждение
convincing, убедительный
cooperate, сотрудничать
cooperative, кооперативный
coordinate, координата
coordination, координация
coordinator, координатор
cop, коп
cope, справляться
copper, медь
copyright, авторское право
corporation, корпорация
correction, исправление
correlate, коррелировать
correlation, корреляция
correspond, соответствовать
correspondence, переписка
correspondent, корреспондент
corresponding, соответствующий
corridor, коридор
corrupt, коррумпированный
corruption, коррупция
costly, дорогостоящий
councillor, советник
counselling, консультирование
counsellor, консультант
counter, прилавок
counter, прилавок
counterpart, коллега
countless,бесчисленное множество
coup, переворот
courtesy, учтивость
coverage, покрытие
crack, трескаться
craft, ремесло
crawl, ползти
creativity, креативность
creator, создатель
credibility, доверие
credible, заслуживающий доверия
creep, слизняк
critically, критически
critique, критика
crown, корона
crude, сырой
cruise, круиз
crush, раздавить
crystal, кристалл
cue, кий
cult, культ
cultivate, культивировать
curiosity, любопытство
curious, любопытный
curriculum, учебный план
custody, попечение
cute, милый
cutting, резка
cynical, циничный
dairy, молочный
dam, плотина
damaging, разрушительный
dare, сметь
darkness, тьма
database, база данных
dawn, рассвет
deadline, крайний срок
deadly, смертельный
dealer, дилер
debris, обломки
debut, дебют
decision-making, принятие решений
decisive, решительный
deck, палуба
declaration, декларация
dedicated, преданный
dedication, преданность
deed, поступок
deem, считаем
default, по умолчанию
defect, дефект
defender, защитник
defensive, оборонительный
deficiency, дефицит
deficit, дефицит
defy, бросать вызов
delegate, делегат
delegation, делегация
delete, удалить
delicate, деликатный
democracy, демократия
democratic, демократический
demon, демон
demonstration, демонстрация
denial, отрицание
denounce, денонсировать
dense, плотный
density, плотность
depart, отходить
dependence, зависимость
dependent, зависимый
depict, изображать
deploy, развертывать
deployment,развертывание
deposit, депозит
depression, депрессия
deprive, лишать
deputy, заместитель
derive, выводить
descend, спускаться
descent, спуск
designate, назначать
desirable, желательно
desktop, рабочий стол
desperately, отчаянно
destruction, разрушение
destructive, разрушительный
detain, задерживать
detection, обнаружение
detention, задержание
deteriorate, ухудшаться
determination, определение
devastate, опустошать
devil, дьявол
devise, изобретать
devote, посвящать
diagnose, диагностировать
diagnosis, диагноз
dictate, диктовать
dictator, диктатор
differ, отличаются
differentiate, дифференцировать
dignity, достоинство
dilemma, дилемма
dimension, измерение
diminish, уменьшать
dip, окунать
diplomat, дипломат
diplomatic, дипломатический
directory, каталог
disability, инвалидность
disabled, неполноценный
disagreement, несогласие
disappoint, разочаровать
disappointment, разочарование
disastrous, катастрофический
discard, отказаться
discharge, увольнять
disclose, раскрывать
disclosure, раскрытие информации
discourage, обескураживать
discourse, дискурс
discretion, осмотрительность
discrimination, дискриминация
dismissal, увольнение
disorder, расстройство
displace, вытеснять
disposal, утилизация
dispose, распоряжаться
dispute, спор
disrupt, нарушать
disruption, нарушение
dissolve, растворяться
distant, далекий
distinct, отчетливый
distinction, различие
distinctive, отличительный
distinguish, различать
distort,искажать
distract, отвлекать
distress, бедствие
disturb, беспокоить
disturbing, тревожный
dive, нырять
diverse, разнообразный
diversity, разнообразие
divert, отвлекать
divine, божественный
divorce, развод
doctrine, доктрина
documentation, документация
domain, домен
dominance, доминирование
dominant, доминирующий
donation, пожертвование
donor, донор
dose, доза
dot, точка
downtown, центр города
drain, осушать
dramatically, драматически
drift, дрейф
driving, вождение
drought, засуха
drown, тонуть
dual, двойной
dub, дубляж
dull, тупой
dumb, тупой
dump, свалка
duo, дуэт
duration, продолжительность
dynamic, динамический
eager, жаждущий
earnings, заработок
ease, простота
echo, эхо
ecological, экологический
economics, экономика
economist, экономист
editorial, редакционная статья
educator, педагог
effectiveness, эффективность
efficiency, эффективность
efficiently, эффективно
ego, эго
elaborate, разрабатывать
elbow, локоть
electoral, избирательный
electronics, электроника
elegant, элегантный
elementary, элементарный
elevate, возвышать
eligible, имеющий право
eliminate, устранять
elite, элита
embark, встать на якорь
embarrassment, смущение
embassy, посольство
embed, вставлять
embody, воплощать
embrace, объятие
emergence, возникновение
emission, эмиссия
emotionally, эмоционально
empire, империя
empirical, эмпирический
empower, уполномочить
enact, принять
encompass, охватывать
encouragement, поощрение
encouraging,поощрение
endeavour, стараться
endless, бесконечный
endorse, одобрять
endorsement, поддержка
endure, терпеть
enforce, обеспечивать соблюдение
enforcement, исполнение
engagement, обручение
engaging, увлекательный
enjoyable, приятный
enquire, запросить
enrich, обогащать
enrol, зарегистрироваться
ensue, последовать
enterprise, предприятие
entertaining, развлекательный
enthusiast, энтузиаст
entitle, давать право
entity, сущность
entrepreneur, предприниматель
envelope, конверт
epidemic, эпидемия
equality, равенство
equation, уравнение
equip, оборудовать
equivalent, эквивалент
era, эра
erect, прямостоячий
erupt, извергаться
escalate, обострять
essence, сущность
essentially, по сути
